%% Dataset about positive and negative movie reviews
@relation review_type
@attribute number_of_words numeric
@attribute number_of_positive_words numeric
@attribute number_of_negative_words numeric
@attribute percent_of_positive_words numeric
@attribute percent_of_negative_words numeric
@attribute positive_minus_negative numeric
@attribute review {positive, negative}
@data
112,5,8,0.044642857142857144,0.07142857142857142,-3,negative
801,30,49,0.03745318352059925,0.06117353308364544,-19,negative
141,8,4,0.05673758865248227,0.028368794326241134,4,negative
154,6,10,0.03896103896103896,0.06493506493506493,-4,negative
395,9,23,0.02278481012658228,0.05822784810126582,-14,negative
97,3,6,0.030927835051546393,0.061855670103092786,-3,negative
323,11,13,0.034055727554179564,0.04024767801857585,-2,negative
155,6,6,0.03870967741935484,0.03870967741935484,0,negative
66,3,6,0.045454545454545456,0.09090909090909091,-3,negative
283,7,7,0.024734982332155476,0.024734982332155476,0,negative
342,15,17,0.043859649122807015,0.049707602339181284,-2,negative
147,5,8,0.034013605442176874,0.05442176870748299,-3,negative
105,15,8,0.14285714285714285,0.0761904761904762,7,negative
139,5,18,0.03597122302158273,0.12949640287769784,-13,negative
178,10,8,0.056179775280898875,0.0449438202247191,2,negative
137,4,9,0.029197080291970802,0.06569343065693431,-5,negative
66,2,1,0.030303030303030304,0.015151515151515152,1,negative
87,2,6,0.022988505747126436,0.06896551724137931,-4,negative
123,6,2,0.04878048780487805,0.016260162601626018,4,negative
173,7,6,0.04046242774566474,0.03468208092485549,1,negative
19,1,2,0.05263157894736842,0.10526315789473684,-1,negative
504,10,17,0.01984126984126984,0.03373015873015873,-7,negative
177,3,8,0.01694915254237288,0.04519774011299435,-5,negative
173,10,4,0.057803468208092484,0.023121387283236993,6,negative
117,4,6,0.03418803418803419,0.05128205128205128,-2,negative
833,30,32,0.03601440576230492,0.03841536614645858,-2,negative
225,13,13,0.057777777777777775,0.057777777777777775,0,negative
197,9,4,0.04568527918781726,0.02030456852791878,5,negative
501,16,17,0.031936127744510975,0.033932135728542916,-1,negative
240,11,7,0.04583333333333333,0.029166666666666667,4,negative
129,5,3,0.03875968992248062,0.023255813953488372,2,negative
328,7,9,0.021341463414634148,0.027439024390243903,-2,negative
311,8,9,0.02572347266881029,0.028938906752411574,-1,negative
152,7,5,0.046052631578947366,0.03289473684210526,2,negative
506,22,12,0.043478260869565216,0.023715415019762844,10,negative
341,15,12,0.04398826979472141,0.03519061583577713,3,negative
239,5,10,0.02092050209205021,0.04184100418410042,-5,negative
155,9,7,0.05806451612903226,0.04516129032258064,2,negative
